date,A,B,C
2013-07-02,100.0,102.0,104.0
2013-07-03,100.35061064336858,102.20924275751223,104.58921908519523
2013-07-05,100.72488910307574,101.64008314971946,100.91324602714234
2013-07-08,100.74230456395513,102.86104303114709,103.91035568053327
2013-07-09,101.36059213634302,102.18202403260469,101.23888768635621
2013-07-10,100.9160848860634,102.14418028323256,99.61269363561148
2013-07-11,100.34649203063958,104.79514381264667,99.3722509825624
2013-07-12,99.24763695093671,106.59300692912747,99.47237542383368
2013-07-15,99.16634601678199,108.02832005585282,100.24224179768078
2013-07-16,99.04491952329658,107.56120682210555,97.86509116977821
2013-07-17,99.68107803719738,107.77954255624402,98.38598472435905
2013-07-18,98.26337382382428,107.13940020513556,95.87410586294396
2013-07-19,100.01449068518603,105.82400116887462,98.1552727114233
2013-07-22,100.27926300644874,105.98042623020618,99.14751624924641
2013-07-23,100.36286644308939,106.08905177664097,98.83233948773069
2013-07-24,100.505024346376,106.84738565465993,96.53813961509701
2013-07-25,101.33998513807809,106.38703451009573,96.74292826092588
2013-07-26,101.94232549734903,107.49975380357687,96.89552624930992
2013-07-29,102.74974158279234,107.1525483967354,97.04903822522232
2013-07-30,103.02352300316356,105.91601317701905,96.38698548994026
2013-07-31,102.12593152601838,106.3862543421981,99.94097405828697
2013-08-01,102.91809013386633,106.46772923443925,99.12597389132317
2013-08-02,102.97325136412543,107.34975541784581,98.7330715105886
2013-08-05,103.3950458594232,106.4864372947151,100.10818393632235
2013-08-06,103.4697573514302,107.45475291129554,100.55689169366077
2013-08-07,102.69739984663155,105.19644462711565,100.37227265691246
2013-08-08,102.70879318091606,106.13118303581692,101.99718164720014
2013-08-09,103.06955049970539,105.00608565279126,102.76985697341085
2013-08-12,102.54494880167974,105.0087458574005,101.59205258586715
2013-08-13,102.34856206486944,104.37685744004139,102.58008435464734
2013-08-14,101.46102484297982,103.0081457705092,100.9845904063321
2013-08-15,102.28536485869076,103.54876211325023,100.49743951024642
2013-08-16,102.52676997549922,104.66866983537403,98.25704069805543
2013-08-19,102.59229219268047,102.8239867526773,100.42369151793218
2013-08-20,103.93055891018858,102.68764893531572,99.11668439402033
2013-08-21,103.53438723770364,102.35112143299877,99.13637135922463
2013-08-22,102.71510167707066,103.0335189947352,99.14132822112383
2013-08-23,103.6657972034655,102.69640326735403,99.91888476542474
2013-08-26,103.30569633832974,101.8409625215226,100.44710626849577
2013-08-27,102.65257166393276,101.69827303611402,102.04446578275184
2013-08-28,102.61863258285253,100.49294314059576,103.5395256269417
2013-08-29,102.51041045971901,99.64605653316089,103.9132807228437
2013-08-30,101.87513722986951,100.59011101378637,107.36816923881203
2013-09-03,102.82624496584472,101.34471344228398,107.5870806473094
2013-09-04,103.51694937015277,99.98752015129567,108.22477156431633
2013-09-05,102.54948383519489,101.35212552865812,107.63877303876785
2013-09-06,102.4721794672971,102.71985667177223,106.21690450093935
2013-09-09,101.74724575779952,102.77856657380768,105.08298284574184
2013-09-10,102.22209976163622,102.59990839599958,105.44531597282214
2013-09-11,101.54563052567474,102.70371546939691,109.31879294105212
2013-09-12,100.85989299311838,100.06537731371982,108.93682235737447
2013-09-13,99.82721728804835,99.77121104459663,111.58384081674485
2013-09-16,99.40892062285683,101.04190677003929,111.61319372137686
2013-09-17,99.45185613266878,101.5165361247706,115.10900689200443
2013-09-18,98.79750849195396,102.5070385363599,116.21591009279317
2013-09-19,99.91205889331177,101.77569372170157,117.50962798050524
2013-09-20,99.23437562492448,103.2937643994384,116.45463298806399
2013-09-23,98.42049249020248,104.18046838561997,117.87481856848883
2013-09-24,98.9863394474,103.2695991123713,120.07244143422895
2013-09-25,99.0261065028635,102.70457909388321,119.72928438121012
2013-09-26,99.21458712236924,102.61953203080337,120.75655757162394
2013-09-27,99.17536684340214,101.62427294723199,121.72762937030598
2013-09-30,98.63873337768378,99.9411915532653,124.31512589178254
2013-10-01,98.10050007609064,99.82502938451994,127.9588159444165
2013-10-02,98.95606881378191,99.3722001236016,124.82624363225528
2013-10-03,98.16059282012512,98.97231136988762,125.71741855169307
2013-10-04,98.146555538829,100.00230426606431,129.2301904150924
2013-10-07,97.40572924557803,100.50960735967094,129.70690251465254
2013-10-08,97.47123907161377,98.71090988541376,127.98408429756672
2013-10-09,98.5033046139717,98.0952219134914,129.1739655437844
2013-10-10,98.67871484408906,97.46785274283002,125.49937101055738
2013-10-11,97.00319616477165,96.90456255391918,127.52256337440988
2013-10-14,96.73300476485419,97.44495188070589,129.57867396214766
2013-10-15,95.8851262315231,97.58473002768707,128.1762860147906
2013-10-16,95.88301978536997,97.96981966906507,126.5914727751899
2013-10-17,95.69476048323725,97.41001269883675,122.96777960420215
2013-10-18,95.36904547364676,98.13299632458104,121.24644571402523
2013-10-21,95.12268635261279,97.5590023870215,118.1153168240806
2013-10-22,95.09145241226024,97.58425398099114,118.93758923469612
2013-10-23,94.97876708071487,97.14459761274048,117.2046076383996
